,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
2573,NN Ser d,NN Ser,2,2,Eclipse Timing Variations,2010,Multiple Telescopes,2883.5,3.43,13.3,1.19,731.0,2.3,0.19,57000.0,,0.54,515.818,1682.5983159999998
2574,TOI-1478 b,TOI-1478,1,1,Transit,2021,0.1 m TESS Telescope,10.180249,0.0903,11.882,1.06,270.47333,0.851,0.024,5597.0,1.05,0.95,152.892,498.733704
2575,TOI-1601 b,TOI-1601,1,1,Transit,2021,0.1 m TESS Telescope,5.331751,0.06864,13.888,1.239,314.6517,0.99,0.036,5948.0,2.19,1.52,336.608,1098.015296
2576,WASP-10 b,WASP-10,1,1,Transit,2008,Canon 200mm f/1.8L,3.0927616,0.03781,12.106,1.08,1001.12,3.15,0.0473,4675.0,0.7,0.75,140.998,459.935476
2577,Ross 128 b,Ross 128,1,1,Radial Velocity,2017,3.6 m ESO Telescope,9.8658,0.0496,1.11,0.099,1.4,0.0044,0.116,3192.0,0.2,0.17,3.37454,11.007749480000001
2578,TOI-1728 b,TOI-1728,1,1,Transit,2020,0.1 m TESS Telescope,3.49151,0.0391,5.05,0.451,26.78,0.08426,0.057,3980.0,0.62,0.65,60.798,198.32307600000001
2579,OGLE-2012-BLG-0563L b,OGLE-2012-BLG-0563L,1,1,Microlensing,2015,1.3 m Warsaw University Telescope,,0.74,13.6,1.21,120.0,0.39,,,,0.34,1300.0,4240.6
2580,TOI-251 b,TOI-251,1,1,Transit,2021,0.1 m TESS Telescope,4.93777,0.05741,2.74,0.244,317.83,1.0,0.0,5875.0,0.88,1.04,99.523,324.644026
2581,OGLE-2013-BLG-1761L b,OGLE-2013-BLG-1761L,1,1,Microlensing,2018,1.3 m Warsaw University Telescope,,1.8,13.2,1.18,860.0,2.7,,,,0.33,6900.0,22507.8
2582,ROXs 42 B b,ROXs 42 B,2,1,Imaging,2013,Multiple Telescopes,,157.0,12.5,1.12,2860.0,9.0,0.58,3433.0,1.34,1.0,143.59,468.39058
2583,OGLE-2016-BLG-1067L b,OGLE-2016-BLG-1067L,1,1,Microlensing,2019,1.3 m Warsaw University Telescope,,1.7,14.3,1.28,140.0,0.43,,,,0.3,3730.0,12167.26
2584,TrES-2 b,TrES-2,2,1,Transit,2006,0.10 m Schmidt Telescope,2.47063,0.03563,15.244,1.36,473.5667,1.49,0.0,5850.0,1.12,1.36,215.32,702.37384
2585,TrES-3 b,TrES-3,1,1,Transit,2007,0.10 m Schmidt Telescope,1.30618581,0.02282,14.975,1.336,607.03,1.91,0.0,5650.0,0.83,0.93,231.337,754.6212939999999
2586,TOI-216.02,TOI-216,1,2,Transit,2019,0.1 m TESS Telescope,17.089,0.1293,7.69,0.686,30.0,0.09439,0.132,5026.0,0.84,0.87,177.945,580.45659
2587,TOI-700 b,TOI-700,1,3,Transit,2020,0.1 m TESS Telescope,9.97702,0.0677,1.037,0.093,1.11,0.00348,0.081,3461.0,0.42,0.41,31.1265,101.534643
2588,TOI-561 d,TOI-561,1,5,Transit,2020,0.1 m TESS Telescope,25.62,0.1569,2.53,0.226,11.95,0.0376,0.051,5455.0,0.85,0.79,85.799,279.87633800000003
2589,OGLE-2015-BLG-1771L b,OGLE-2015-BLG-1771L,1,1,Microlensing,2020,1.3 m Warsaw University Telescope,,0.85,14.3,1.28,138.0,0.433,,,,0.08,7070.0,23062.34
2590,TOI-628 b,TOI-628,1,1,Transit,2021,0.1 m TESS Telescope,3.4095675,0.0486,11.882,1.06,2011.8639,6.33,0.072,6250.0,1.34,1.31,178.68,582.85416
2591,OGLE-2016-BLG-0613L AB b,OGLE-2016-BLG-0613L AB,2,1,Microlensing,2017,1.3 m Warsaw University Telescope,,6.4,13.0,1.16,1330.0,4.18,,,,0.72,3410.0,11123.42
2592,TOI-640 b,TOI-640,1,1,Transit,2021,0.1 m TESS Telescope,5.0037775,0.06608,19.851,1.771,279.6904,0.88,0.05,6460.0,2.08,1.54,341.997,1115.594214
2593,OGLE-2017-BLG-0406L b,OGLE-2017-BLG-0406L,1,1,Microlensing,2020,1.3 m Warsaw University Telescope,,3.5,14.2,1.27,130.0,0.41,,,,0.56,5200.0,16962.4
2594,TOI-905 b,TOI-905,1,1,Transit,2020,0.1 m TESS Telescope,3.739494,0.04666,13.126,1.171,211.99261,0.667,0.024,5570.0,0.92,0.97,158.649,517.513038
2595,TOI-954 b,TOI-954,1,1,Transit,2020,0.1 m TESS Telescope,3.6849729,0.04963,9.55,0.852,55.30242,0.174,0.14,5710.0,1.89,1.2,238.768,778.861216
2596,OGLE-2018-BLG-1011L c,OGLE-2018-BLG-1011L,1,2,Microlensing,2019,1.3 m Warsaw University Telescope,,0.8,13.2,1.18,890.0,2.8,,,,0.18,7100.0,23160.2
2597,TRAPPIST-1 g,TRAPPIST-1,1,7,Transit,2017,Multiple Telescopes,12.352446,0.04683,1.129,0.101,1.321,0.00416,0.00208,2566.0,0.12,0.09,12.4298888,40.5462972656
2598,TOI-763 c,TOI-763,1,2,Transit,2020,0.1 m TESS Telescope,12.2737,0.1011,2.63,0.235,9.32,0.02932,0.04,5450.0,0.9,0.92,95.1274,310.3055788
2599,TOI-776 b,TOI-776,1,2,Transit,2020,0.1 m TESS Telescope,8.24661,0.0652,1.85,0.165,4.0,0.01259,0.06,3709.0,0.54,0.54,27.1701,88.6288662
2600,TOI-776 c,TOI-776,1,2,Transit,2020,0.1 m TESS Telescope,15.6653,0.1,2.02,0.18,5.3,0.01668,0.04,3709.0,0.54,0.54,27.1701,88.6288662
