,planet_name,hostname,sys_num_stars,sys_num_planet,discovery_method,discovery_year,discovery_telescope,orbital_period,orbital_semi_major,planet_radius_earth,planet_radius_jupiter,planet_mass_earth,planet_mass_jupiter,eccentricity,stellar_eff_temp,stellar_radius,stellar_mass,dist_system,dist_system_ly
0,OGLE-2016-BLG-1227L b,OGLE-2016-BLG-1227L,1,1,Microlensing,2020,1.3 m Warsaw University Telescope,,3.4,13.9,1.24,250.0,0.79,,,,0.1,,
1,GJ 480 b,GJ 480,1,1,Radial Velocity,2020,Multiple Telescopes,9.567,0.068,3.69,0.33,13.2,0.04153,0.1,3381.0,0.46,0.45,14.2358,46.4371796
2,Kepler-276 c,Kepler-276,1,3,Transit,2013,0.95 m Kepler Telescope,31.884,0.1994,2.9,0.259,16.6,0.052,0.0,5779.0,1.03,1.1,1144.86,3734.5333199999995
3,Kepler-829 b,Kepler-829,1,1,Transit,2016,0.95 m Kepler Telescope,6.88337562,0.0678,2.11,0.188,5.1,0.016,0.0,5698.0,0.97,0.98,1073.76,3502.60512
4,K2-283 b,K2-283,1,1,Transit,2018,0.95 m Kepler Telescope,1.921036,0.0291,3.52,0.314,12.2,0.0383,,5060.0,0.82,0.89,402.915,1314.30873
5,Kepler-477 b,Kepler-477,2,1,Transit,2016,0.95 m Kepler Telescope,11.11990653,0.0911,2.07,0.185,4.94,0.0155,0.0,5240.0,0.79,0.87,367.0,1197.154
6,HAT-P-15 b,HAT-P-15,1,1,Transit,2010,Canon 200mm f/1.8L,10.8635,0.0965,11.882,1.06,616.5902,1.94,0.19,5568.0,1.07,1.0,192.516,627.9871919999999
7,HD 149143 b,HD 149143,1,1,Radial Velocity,2005,1.93 m Telescope,4.07182,0.053,13.6,1.22,422.7139,1.33,0.0167,5856.0,1.44,1.2,73.2801,239.0396862
8,HD 210702 b,HD 210702,1,1,Radial Velocity,2007,3.0 m C. Donald Shane Telescope,354.1,1.148,13.4,1.2,574.63664,1.808,0.028,4951.0,4.92,1.61,54.1963,176.7883306
9,HIP 12961 b,HIP 12961,1,1,Radial Velocity,2010,3.6 m ESO Telescope,57.435,0.25,13.2,1.18,114.4188,0.36,0.17,3901.0,0.65,0.69,23.371,76.23620199999999
10,XO-5 b,XO-5,1,1,Transit,2008,Canon 200mm f/1.8L,4.1877558,0.0515,12.78,1.14,378.2,1.19,0.0,5430.0,1.13,1.04,276.211,901.0002820000001
11,HD 5608 b,HD 5608,1,1,Radial Velocity,2012,1.88 m Telescope,779.9,1.911,13.5,1.2,534.27223,1.681,0.056,4877.0,5.14,1.53,58.1105,189.556451
12,HD 95872 b,HD 95872,1,1,Radial Velocity,2015,Multiple Telescopes,4375.0,5.15,13.0,1.16,1188.6842,3.74,0.06,5312.0,0.84,0.7,72.2195,235.580009
13,OGLE-2015-BLG-0966L b,OGLE-2015-BLG-0966L,1,1,Microlensing,2016,1.3 m Warsaw University Telescope,,2.7,4.86,0.433,21.0,0.066,,,,0.38,3300.0,10764.6
14,WASP-123 b,WASP-123,2,1,Transit,2016,Canon 200mm f/1.8L,2.9776412,0.04263,14.773,1.318,285.72917,0.899,0.0,5740.0,1.28,1.17,197.996,645.8629520000001
15,tau Cet e,tau Cet,1,4,Radial Velocity,2017,Multiple Telescopes,162.87,0.538,1.81,0.161,3.93,0.01237,0.18,5310.0,0.83,0.78,3.60304,11.753116480000001
16,K2-254 c,K2-254,1,2,Transit,2018,0.95 m Kepler Telescope,12.11839,0.0923,2.19,0.195,5.43,0.0171,,4629.0,0.67,0.71,227.775,743.00205
17,HD 26965 b,HD 26965,3,1,Radial Velocity,2018,Multiple Telescopes,42.378,,2.84,0.254,8.47,0.02665,0.04,5072.0,0.87,0.78,5.03545,16.4256379
18,EPIC 220554210 c,K2-282,1,2,Transit,2019,0.95 m Kepler Telescope,0.70531,,1.48,0.132,2.79,0.00879,,5523.0,1.01,0.94,496.289,1618.894718
19,NSVS 14256825 b,NSVS 14256825,2,1,Eclipse Timing Variations,2019,Multiple Telescopes,3225.0,3.12,12.3,1.1,4497.2945,14.15,0.12,40000.0,0.19,0.42,820.877,2677.700774
20,Kepler-1390 b,Kepler-1390,1,1,Transit,2016,0.95 m Kepler Telescope,6.48021673,0.0662,1.18,0.105,1.76,0.00553,0.0,5753.0,0.98,0.98,723.431,2359.8319220000003
21,Kepler-393 c,Kepler-393,1,2,Transit,2014,0.95 m Kepler Telescope,14.613612,0.124,1.33,0.119,2.33,0.00733,0.0,6189.0,1.38,1.21,881.404,2875.139848
22,Kepler-263 c,Kepler-263,1,2,Transit,2014,0.95 m Kepler Telescope,47.332773,0.242,2.47,0.22,6.66,0.021,0.0,5265.0,0.79,0.8,754.747,2461.9847139999997
23,Kepler-1431 b,Kepler-1431,1,1,Transit,2016,0.95 m Kepler Telescope,5.86601526,0.0648,1.47,0.131,2.76,0.00869,0.0,5806.0,1.03,1.03,1623.24,5295.00888
24,Kepler-237 c,Kepler-237,1,2,Transit,2014,0.95 m Kepler Telescope,8.103636,0.071,2.08,0.186,4.98,0.0157,0.0,4861.0,0.72,0.7,657.822,2145.815364
25,Kepler-1510 b,Kepler-1510,1,1,Transit,2016,0.95 m Kepler Telescope,84.703921,0.4089,3.36,0.3,11.2,0.0354,0.0,6200.0,1.28,1.19,1696.25,5533.1675
26,Kepler-169 e,Kepler-169,1,5,Transit,2014,0.95 m Kepler Telescope,13.767102,0.105,2.2,0.196,5.48,0.0172,0.0,4997.0,0.76,0.84,406.529,1326.097598
27,Kepler-145 c,Kepler-145,1,2,Transit,2013,0.95 m Kepler Telescope,42.882,0.2578,4.32,0.385,79.4,0.25,0.11,6022.0,1.85,1.32,566.85,1849.0647000000001
28,Kepler-219 c,Kepler-219,1,3,Transit,2014,0.95 m Kepler Telescope,22.714613,0.165,3.58,0.319,12.5,0.0394,0.0,5786.0,1.49,1.17,787.07,2567.42234
29,Kepler-910 b,Kepler-910,1,1,Transit,2016,0.95 m Kepler Telescope,2.36436901,0.0382,0.82,0.073,0.477,0.0015,0.0,6230.0,1.5,1.26,400.289,1305.742718
30,Kepler-1037 b,Kepler-1037,1,1,Transit,2016,0.95 m Kepler Telescope,1.06378867,0.0198,1.28,0.114,2.18,0.00687,0.0,5105.0,0.78,0.82,446.914,1457.833468
31,Kepler-992 b,Kepler-992,1,1,Transit,2016,0.95 m Kepler Telescope,20.16034462,0.1339,1.62,0.145,3.26,0.0102,0.0,4944.0,0.74,0.8,259.639,846.9424180000001
32,Kepler-113 b,Kepler-113,1,2,Transit,2014,0.95 m Kepler Telescope,4.754,0.0502,1.82,0.162,11.7,0.037,0.0,4725.0,0.69,0.75,262.351,855.788962
33,Kepler-1097 b,Kepler-1097,1,1,Transit,2016,0.95 m Kepler Telescope,187.747029,0.5791,3.26,0.291,10.7,0.0336,0.0,5211.0,0.79,0.82,719.802,2347.9941240000003
34,Kepler-382 b,Kepler-382,1,2,Transit,2014,0.95 m Kepler Telescope,5.262155,0.055,1.32,0.118,2.3,0.00724,0.0,5600.0,0.94,0.88,935.446,3051.424852
35,Kepler-1310 b,Kepler-1310,1,1,Transit,2016,0.95 m Kepler Telescope,0.67933627,0.0148,1.44,0.128,2.67,0.00839,0.0,5549.0,0.88,0.91,569.185,1856.6814699999998
36,WD 1856+534 b,WD 1856+534,3,1,Transit,2020,0.1 m TESS Telescope,1.4079405,0.0204,10.4,0.928,4386.054,13.8,0.0,4710.0,0.01,0.52,24.7359,80.6885058
37,42 Dra b,42 Dra,2,1,Radial Velocity,2008,2.0 m Alfred Jensch Telescope,479.1,1.19,13.0,1.16,1233.13,3.88,0.38,4200.0,22.03,0.98,90.6545,295.71497899999997
38,61 Vir c,61 Vir,1,3,Radial Velocity,2009,Multiple Telescopes,38.021,0.2175,4.46,0.398,18.2,0.057,0.14,5577.0,0.96,0.94,8.50332,27.73782984
39,70 Vir b,70 Vir,1,1,Radial Velocity,1996,3.0 m C. Donald Shane Telescope,116.688,0.481,12.6,1.13,2380.45,7.49,0.3988,5495.0,1.89,1.09,17.9011,58.3933882
40,Kepler-255 c,Kepler-255,1,3,Transit,2014,0.95 m Kepler Telescope,9.946047,0.092,2.99,0.267,9.22,0.029,0.0,5573.0,0.93,0.87,1052.53,3433.35286
41,K2-60 b,K2-60,1,1,Transit,2016,0.95 m Kepler Telescope,3.00265,0.045,7.656,0.683,135.39558,0.426,0.0,5500.0,1.12,0.97,491.87,1604.47994
42,Kepler-52 c,Kepler-52,1,3,Transit,2012,0.95 m Kepler Telescope,16.3850021,0.10379,1.84,0.164,3308.41,10.41,0.0,4075.0,0.52,0.54,321.542,1048.8700039999999
43,Kepler-248 b,Kepler-248,1,2,Transit,2014,0.95 m Kepler Telescope,6.308205,0.066,3.02,0.269,9.38,0.0295,0.0,5190.0,0.83,0.9,738.792,2409.939504
44,24 Sex b,24 Sex,1,2,Radial Velocity,2010,3.0 m C. Donald Shane Telescope,452.8,1.333,13.4,1.19,632.46,1.99,0.09,5098.0,4.9,1.54,72.0691,235.08940420000002
45,24 Sex c,24 Sex,1,2,Radial Velocity,2010,3.0 m C. Donald Shane Telescope,883.0,2.08,13.9,1.24,273.32,0.86,0.29,5098.0,4.9,1.54,72.0691,235.08940420000002
46,rho CrB c,rho CrB,1,2,Radial Velocity,2016,Multiple Telescopes,102.54,0.4123,5.38,0.48,25.0,0.07866,0.052,5627.0,1.36,0.89,17.4671,56.977680199999995
47,HAT-P-43 b,HAT-P-43,1,1,Transit,2012,Canon 200mm f/1.8L,3.332687,0.0443,14.359,1.281,210.395,0.662,0.0,5645.0,1.1,1.05,528.825,1725.0271500000001
48,DENIS-P J082303.1-491201 b,DENIS-P J082303.1-491201,1,1,Astrometry,2013,8.2 m ESO VLT UT1 Antu Telescope,246.36,0.36,11.9,1.06,9057.77,28.5,0.345,,,0.07,20.77,67.75174
49,HIP 63242 b,HIP 63242,1,1,Radial Velocity,2013,Multiple Telescopes,124.6,0.565,12.5,1.12,2917.56,9.18,0.23,4830.0,10.28,1.54,156.456,510.359472
50,GJ 504 b,GJ 504,1,1,Imaging,2013,8.2 m Subaru Telescope,,43.5,13.0,1.16,1271.3,4.0,,6234.0,1.26,1.22,17.5299,57.1825338
51,2MASS J01225093-2439505 b,2MASS J01225093-2439505,1,1,Imaging,2013,10 m Keck II Telescope,,52.0,11.209,1.0,7786.5,24.5,,3530.0,0.37,0.4,33.8281,110.3472622
52,WD 0806-661 b,WD 0806-661,1,1,Imaging,2011,0.85 m Spitzer Space Telescope,,2500.0,12.6,1.13,2383.6,7.5,,9552.0,,0.62,19.2444,62.7752328
53,RR Cae b,RR Cae,2,1,Eclipse Timing Variations,2012,2.15 m Jorge Sahade Telescope,4343.5,5.3,13.0,1.16,1334.886,4.2,0.0,3904.0,0.19,0.44,21.1916,69.1269992
54,HATS-28 b,HATS-28,1,1,Transit,2016,0.18 m Takahashi Epsilon Astrograph,3.1810781,0.04131,13.384,1.194,213.58176,0.672,0.202,5498.0,0.92,0.93,535.383,1746.4193460000001
55,2MASS J19383260+4603591 b,2MASS J19383260+4603591,2,1,Eclipse Timing Variations,2015,0.95 m Kepler Telescope,416.0,0.92,13.4,1.2,603.877,1.9,,10868.0,0.34,0.48,396.332,1292.834984
56,HATS-27 b,HATS-27,1,1,Transit,2016,0.18 m Takahashi Epsilon Astrograph,4.637038,0.0611,16.814,1.5,168.4499,0.53,0.581,6438.0,1.74,1.42,816.988,2665.0148560000002
57,HATS-15 b,HATS-15,1,1,Transit,2016,0.18 m Takahashi Epsilon Astrograph,1.74748753,0.02712,12.386,1.105,689.6911,2.17,0.126,5311.0,0.92,0.87,1139.55,3717.2120999999997
58,GJ 3341 b,GJ 3341,1,1,Radial Velocity,2015,3.6 m ESO Telescope,14.207,0.089,2.46,0.219,6.6,0.0208,0.31,3526.0,0.44,0.47,23.619,77.04517799999999
59,GJ 3512 b,GJ 3512,1,1,Radial Velocity,2019,3.5 m telescope,203.59,0.338,14.3,1.27,147.15529,0.463,0.4356,3081.0,0.14,0.12,9.48637,30.944538940000005
60,GJ 581 b,GJ 581,1,3,Radial Velocity,2005,3.6 m ESO Telescope,5.3686,0.04061,4.11,0.366,15.8,0.0497,0.0,3396.0,0.33,0.31,6.2981,20.5444022
61,55 Cnc f,55 Cnc,2,5,Radial Velocity,2007,Multiple Telescopes,259.88,0.7708,7.59,0.677,44.812,0.141,0.08,5172.0,0.94,0.91,12.5855,41.053900999999996
62,G 264-012 b,G 264-012,1,2,Radial Velocity,2021,3.5 m telescope,2.30538,0.02279,1.39,0.124,2.5,0.00787,,3326.0,0.3,0.3,16.009,52.221358
63,EPIC 201833600 c,K2-50,1,2,Transit,2019,0.95 m Kepler Telescope,3.96151,,1.0,0.089,0.972,0.00306,,4292.67,0.63,0.61,257.443,839.779066
64,EPIC 205950854 c,K2-168,1,2,Transit,2019,0.95 m Kepler Telescope,8.050722,,1.31,0.117,2.27,0.00714,,5502.7,0.83,0.88,243.935,795.71597
65,EPIC 249893012 b,EPIC 249893012,1,3,Transit,2020,0.95 m Kepler Telescope,3.5951,0.047,1.95,0.174,8.75,0.02753,0.06,5430.0,1.71,1.05,321.296,1048.067552
66,EPIC 249893012 c,EPIC 249893012,1,3,Transit,2020,0.95 m Kepler Telescope,15.624,0.13,3.67,0.327,14.67,0.04616,0.07,5430.0,1.71,1.05,321.296,1048.067552
67,GJ 3293 d,GJ 3293,1,4,Radial Velocity,2017,3.6 m ESO Telescope,48.1345,0.19394,2.67,0.238,7.6,0.02391,0.12,3466.0,0.4,0.42,20.1903,65.8607586
68,GJ 3473 c,GJ 3473,2,2,Radial Velocity,2020,Multiple Telescopes,15.509,0.0876,2.63,0.235,7.41,0.02331,0.0,3347.0,0.36,0.36,27.3644,89.2626728
69,GJ 3998 c,GJ 3998,1,2,Radial Velocity,2016,3.58 m Telescopio Nazionale Galileo,13.74,0.089,2.38,0.212,6.26,0.0197,0.049,3722.0,0.49,0.5,18.1459,59.19192580000001
70,BD-08 2823 b,BD-08 2823,1,2,Radial Velocity,2009,3.6 m ESO Telescope,5.6,0.06,3.61,0.322,12.7132,0.04,0.15,4816.0,0.71,0.5,41.3342,134.83216040000002
71,BD-10 3166 b,BD-10 3166,1,1,Radial Velocity,2000,10 m Keck I Telescope,3.48777,0.04,14.1,1.26,187.5197,0.59,0.02,5393.0,0.91,1.47,84.4069,275.33530779999995
72,GJ 720 A b,GJ 720 A,2,1,Radial Velocity,2021,3.58 m Telescopio Nazionale Galileo,19.466,0.119,3.77,0.336,13.64,0.04292,0.12,3837.0,0.56,0.57,15.5575,50.748565
73,BD-13 2130 b,BD-13 2130,1,1,Radial Velocity,2007,1.2 m Leonhard Euler Telescope,714.29999,1.66,12.5,1.11,3108.3774,9.78,0.21,4545.0,19.17,2.12,925.214,3018.048068
74,HD 215152 d,HD 215152,1,4,Radial Velocity,2018,3.6 m ESO Telescope,10.86499,0.08799,1.48,0.132,2.801,0.00881,0.0,4935.0,0.73,0.77,21.5974,70.4507188
75,AB Pic b,AB Pic,1,1,Imaging,2005,8.2 m ESO VLT UT4 Yepun Telescope,,260.0,12.3,1.1,4290.5,13.5,,5285.0,1.0,0.9,50.0475,163.254945
76,GJ 9827 d,GJ 9827,1,3,Transit,2017,0.95 m Kepler Telescope,6.2014698,0.05591,2.022,0.18,4.04,0.01271,0.0,4340.0,0.6,0.61,29.661,96.754182
77,HAT-P-12 b,HAT-P-12,1,1,Transit,2009,Canon 200mm f/1.8L,3.2130598,0.0384,10.749,0.959,67.059,0.211,0.0,4650.0,0.7,0.73,142.751,465.65376200000003
78,EPIC 246851721 b,EPIC 246851721,2,1,Transit,2018,0.95 m Kepler Telescope,6.180235,0.07229,11.781,1.051,953.49,3.0,,6202.0,1.59,1.32,372.632,1215.525584
79,CFBDSIR J145829+101343 b,CFBDSIR J145829+101343,1,1,Imaging,2011,10 m Keck II Telescope,10037.5,2.6,12.4,1.11,3337.1,10.5,,580.5,,0.02,23.1,75.35220000000001
80,CoRoT-14 b,CoRoT-14,1,1,Transit,2010,0.27 m CoRoT Telescope,1.51214,0.027,12.22,1.09,2415.4,7.6,0.0,6035.0,1.21,1.13,1744.6,5690.8852
81,EPIC 206024342 b,EPIC 206024342,1,1,Transit,2019,0.95 m Kepler Telescope,4.50756,,1.7,0.152,3.53,0.0111,,5759.0,0.82,0.93,369.888,1206.574656
82,EPIC 206215704 b,EPIC 206215704,1,1,Transit,2019,0.95 m Kepler Telescope,2.25372,,0.9,0.08,0.666,0.0021,,3467.0,0.37,0.41,109.888,358.454656
83,EPIC 212297394 b,EPIC 212297394,1,2,Transit,2019,0.95 m Kepler Telescope,2.289363,,1.48,0.132,2.79,0.00879,,5171.0,0.8,0.83,418.395,1364.80449
84,EPIC 212499991 b,EPIC 212499991,1,1,Transit,2019,0.95 m Kepler Telescope,34.885,,1.6,0.143,3.19,0.01,,4982.79,0.76,0.91,283.29,924.09198
85,EPIC 212737443 c,EPIC 212737443,1,2,Transit,2019,0.95 m Kepler Telescope,65.55,0.28,2.69,0.24,7.7,0.0242,0.2,4684.0,0.67,0.69,336.25,1096.8475
86,GJ 180 c,GJ 180,1,3,Radial Velocity,2014,Multiple Telescopes,24.329,0.129,2.41,0.215,6.4,0.02014,0.09,3371.0,0.41,0.43,11.9407,38.9505634
87,GJ 229 b,GJ 229,2,2,Radial Velocity,2014,Multiple Telescopes,526.115,0.898,2.85,0.254,8.478,0.02667,0.1,3564.0,0.46,0.58,5.75624,18.776854880000002
88,GJ 3138 d,GJ 3138,1,3,Radial Velocity,2017,3.6 m ESO Telescope,257.8,0.698,3.23,0.288,10.5,0.03304,0.32,3717.0,0.5,0.68,28.4712,92.8730544
89,GJ 3470 b,GJ 3470,1,1,Radial Velocity,2012,3.6 m ESO Telescope,3.3366496,0.0355,4.57,0.408,13.9,0.04373,0.017,3600.0,0.55,0.54,29.4214,95.9726068
90,HD 134060 c,HD 134060,1,2,Radial Velocity,2019,3.6 m ESO Telescope,1291.5646,2.3928,5.91,0.527,29.29,0.0922,0.11,5966.0,1.16,1.09,24.0125,78.328775
91,HD 136352 b,HD 136352,1,3,Radial Velocity,2019,3.6 m ESO Telescope,11.57797,0.0964,1.664,0.148,4.72,0.01485,0.0,5664.0,1.06,0.87,14.682,47.892684
92,GJ 433 b,GJ 433,1,3,Radial Velocity,2011,3.6 m ESO Telescope,7.3705,0.062,2.33,0.208,6.043,0.01901,0.04,3461.0,0.5,0.48,9.06456,29.56859472
93,GJ 433 d,GJ 433,1,3,Radial Velocity,2020,Multiple Telescopes,36.059,0.178,2.14,0.191,5.223,0.01643,0.07,3461.0,0.47,0.48,9.06456,29.56859472
94,GJ 436 b,GJ 436,1,1,Radial Velocity,2004,10 m Keck I Telescope,2.64388312,0.0291,4.17,0.372,22.1,0.07,0.13827,3586.11,0.46,0.47,9.75321,31.814971019999998
95,GJ 9827 c,GJ 9827,1,3,Transit,2017,0.95 m Kepler Telescope,3.6480957,0.03925,1.241,0.111,0.84,0.00264,0.0,4340.0,0.6,0.61,29.661,96.754182
96,HAT-P-13 c,HAT-P-13,1,2,Radial Velocity,2009,10 m Keck I Telescope,446.27,1.258,12.3,1.1,4538.421,14.28,0.6616,5653.0,1.76,1.32,246.81,805.0942200000001
97,HAT-P-14 b,HAT-P-14,2,1,Transit,2010,Canon 200mm f/1.8L,4.62767,0.0596,15.917,1.42,1093.3352,3.44,0.11,6600.0,1.82,2.65,222.663,726.3267060000001
98,HAT-P-37 b,HAT-P-37,1,1,Transit,2011,Canon 200mm f/1.8L,2.797436,0.0379,13.204,1.178,371.528,1.169,0.058,5500.0,0.88,0.93,390.594,1274.117628
99,CoRoT-30 b,CoRoT-30,1,1,Transit,2020,0.27 m CoRoT Telescope,9.06005,0.0844,11.31,1.009,921.707,2.9,0.007,5650.0,0.91,0.98,1032.23,3367.1342600000003
100,HAT-P-40 b,HAT-P-40,1,1,Transit,2012,Canon 200mm f/1.8L,4.45724,0.0608,17.038,1.52,152.5584,0.48,0.0,6080.0,1.94,1.03,464.469,1515.097878
101,HAT-P-51 b,HAT-P-51,1,1,Transit,2015,multiple telescopes,4.2180278,0.05069,14.493,1.293,98.20947,0.309,0.123,5449.0,1.04,0.98,440.089,1435.570318
102,HATS-12 b,HATS-12,1,1,Transit,2016,0.18 m Takahashi Epsilon Astrograph,3.142702,0.0441,7.76,0.692,759.6137,2.39,0.085,6357.0,1.17,1.16,746.138,2433.902156
103,HATS-49 b,HATS-49,1,1,Transit,2020,0.18 m Takahashi Epsilon Astrograph,4.1480467,0.04515,8.575,0.765,112.19399,0.353,0.071,4405.0,0.7,0.71,324.413,1058.235206
104,HATS-54 b,HATS-54,1,1,Transit,2019,0.18 m Takahashi Epsilon Astrograph,2.5441828,0.03763,11.96,1.067,241.5508,0.76,0.126,5702.0,1.32,1.1,748.585,2441.88427
105,HD 10180 d,HD 10180,1,6,Radial Velocity,2010,3.6 m ESO Telescope,16.357,0.12859,3.45,0.308,11.75,0.03697,0.131,5911.0,1.11,1.06,38.9607,127.08980340000001
106,HD 102272 b,HD 102272,1,1,Radial Velocity,2008,9.2 m Hobby-Eberly Telescope,127.58,0.51,12.9,1.15,1570.0802,4.94,0.05,4790.0,10.3,1.45,347.097,1132.2304139999999
107,HD 42618 b,HD 42618,1,1,Radial Velocity,2016,Multiple Telescopes,149.61,0.554,3.89,0.347,14.4,0.04531,0.19,5727.0,1.0,1.01,24.3358,79.3833796
108,HD 110014 b,HD 110014,1,1,Radial Velocity,2009,Multiple Telescopes,835.477,2.14,12.4,1.11,3524.59,11.09,0.462,4445.0,20.9,2.17,100.758,328.672596
109,HD 131496 b,HD 131496,1,1,Radial Velocity,2011,10 m Keck I Telescope,896.0,2.01,13.4,1.2,572.094,1.8,0.181,4846.0,4.44,1.34,131.849,430.091438
110,BD-17 63 b,BD-17 63,1,1,Radial Velocity,2008,3.6 m ESO Telescope,655.6,1.34,12.8,1.15,1620.9,5.1,0.54,4714.0,0.69,0.74,34.4603,112.40949859999999
111,CoRoT-13 b,CoRoT-13,1,1,Transit,2010,0.27 m CoRoT Telescope,4.03519,0.051,9.92,0.885,415.704,1.308,0.0,5945.0,1.01,1.09,1148.93,3747.8096600000003
112,EPIC 201754305 d,K2-16,1,3,Transit,2019,0.95 m Kepler Telescope,2.71578,,1.03,0.092,1.08,0.0034,,4761.0,0.54,0.67,334.967,1092.662354
113,EPIC 201841433 b,EPIC 201841433,1,1,Transit,2019,0.95 m Kepler Telescope,4.1698,0.035,1.04,0.093,1.12,0.00352,,5053.0,0.63,0.8,436.488,1423.823856
114,HD 7449 b,HD 7449,2,1,Radial Velocity,2011,3.6 m ESO Telescope,1255.5,2.38,14.2,1.27,161.45764,0.508,0.92,6024.0,0.97,1.05,38.662,126.115444
115,HD 37605 b,HD 37605,1,2,Radial Velocity,2004,9.2 m Hobby-Eberly Telescope,55.01292,0.277,13.2,1.18,854.9627,2.69,0.6745,5329.0,0.91,0.94,46.7864,152.6172368
116,HD 40307 d,HD 40307,1,5,Radial Velocity,2009,3.6 m ESO Telescope,20.432,0.1321,3.04,0.272,9.5,0.0299,0.07,4956.0,0.72,0.77,12.9363,42.198210599999996
117,HD 75289 b,HD 75289,2,1,Radial Velocity,1999,1.2 m Leonhard Euler Telescope,3.50927,0.05,14.2,1.27,155.7367,0.49,0.03,6117.0,1.23,1.29,29.1158,94.9757396
118,HD 73526 c,HD 73526,1,2,Radial Velocity,2005,3.9 m Anglo-Australian Telescope,379.1,1.03,13.3,1.19,715.09,2.25,0.28,5633.0,1.53,1.01,97.2396,317.1955752
119,HD 46375 b,HD 46375,2,1,Radial Velocity,2000,10 m Keck I Telescope,3.023573,0.0398,10.0,0.894,71.8,0.226,0.063,5285.0,0.91,0.92,29.5529,96.4015598
120,HD 7924 c,HD 7924,1,3,Radial Velocity,2015,10 m Keck I Telescope,15.299,0.1134,2.72,0.243,7.86,0.02473,0.098,5075.0,0.78,0.83,16.9922,55.428556400000005
121,G 264-012 c,G 264-012,1,2,Radial Velocity,2021,3.5 m telescope,8.0518,0.0525,1.76,0.157,3.75,0.0118,,3326.0,0.3,0.3,16.009,52.221358
122,HD 23127 b,HD 23127,1,1,Radial Velocity,2006,3.9 m Anglo-Australian Telescope,1211.17,2.37,13.5,1.21,485.32641,1.527,0.406,5843.0,1.49,1.21,93.8555,306.15664100000004
123,HD 233832 b,HD 233832,2,1,Radial Velocity,2018,3.58 m Telescopio Nazionale Galileo,2058.0,2.827,13.5,1.2,565.7374,1.78,0.359,4981.0,0.68,0.71,58.742,191.616404
124,HD 238090 b,HD 238090,1,1,Radial Velocity,2020,Multiple Telescopes,13.671,0.0932,2.52,0.225,6.89,0.02168,0.3,3933.0,0.57,0.58,15.2354,49.6978748
125,HD 160691 b,HD 160691,1,4,Radial Velocity,2000,3.9 m Anglo-Australian Telescope,643.25,1.497,13.5,1.2,532.68308,1.676,0.128,5807.0,1.38,1.08,15.5981,50.881002200000005
126,HD 30856 b,HD 30856,2,1,Radial Velocity,2011,10 m Keck I Telescope,847.0,1.85,13.5,1.21,491.68301,1.547,0.061,4895.0,4.4,1.17,131.199,427.97113800000005
127,HD 212301 b,HD 212301,2,1,Radial Velocity,2005,3.6 m ESO Telescope,2.24571,0.03,14.2,1.27,162.0933,0.51,0.0,6239.0,1.16,1.55,54.2304,176.8995648
128,HD 213240 b,HD 213240,2,1,Radial Velocity,2001,1.2 m Leonhard Euler Telescope,882.70001,1.89,12.8,1.14,1773.4914,5.58,0.42,5979.0,1.51,1.57,40.8707,133.3202234
129,HD 213885 b,HD 213885,1,2,Transit,2019,0.1 m TESS Telescope,1.008035,0.02012,1.745,0.156,8.83,0.02778,0.0,5978.0,1.1,1.07,48.0883,156.8640346
130,HD 215497 b,HD 215497,1,2,Radial Velocity,2009,3.6 m ESO Telescope,3.93404,0.05,2.4,0.214,6.3566,0.02,0.16,5110.0,0.85,0.67,40.5468,132.2636616
131,HD 216437 b,HD 216437,1,1,Radial Velocity,2002,3.9 m Anglo-Australian Telescope,1334.28,2.497,13.3,1.19,706.53609,2.223,0.317,5909.0,1.39,1.17,26.6902,87.0634324
132,HAT-P-32 b,HAT-P-32,2,1,Transit,2011,Canon 200mm f/1.8L,2.1500082,0.03397,22.194,1.98,216.1244,0.68,0.159,6001.0,1.37,1.13,289.205,943.38671
133,HAT-P-35 b,HAT-P-35,3,1,Transit,2011,Canon 200mm f/1.8L,3.646706,0.04978,14.93,1.332,335.62848,1.056,0.02,6096.0,1.44,1.24,506.965,1653.71983
134,HD 219666 b,HD 219666,1,1,Transit,2018,0.1 m TESS Telescope,6.03607,0.06356,4.71,0.42,16.6,0.05223,0.0,5527.0,1.03,0.92,94.1719,307.18873779999996
135,DMPP-3 A b,DMPP-3 A,2,1,Radial Velocity,2019,3.6 m ESO Telescope,6.6732,0.0662,1.41,0.126,2.58,0.00812,0.14,5138.0,0.91,0.87,45.23,147.54026
136,HATS-45 b,HATS-45,1,1,Transit,2018,0.18 m Takahashi Epsilon Astrograph,4.1876244,0.05511,14.415,1.286,222.481,0.7,0.24,6450.0,1.31,1.27,772.11,2518.62282
137,HATS-48 A b,HATS-48 A,2,1,Transit,2020,0.18 m Takahashi Epsilon Astrograph,3.1316666,0.03769,8.967,0.8,77.23269,0.243,0.162,4546.0,0.72,0.73,263.609,859.8925579999999
138,HD 106252 b,HD 106252,1,1,Radial Velocity,2002,3.0 m C. Donald Shane Telescope,1531.0,2.61,12.7,1.13,2202.5619,6.93,0.48,5874.0,1.1,1.01,38.185,124.55947
139,HD 110113 b,HD 110113,1,2,Transit,2021,0.1 m TESS Telescope,2.541,0.035,2.05,0.183,4.55,0.01432,0.093,5732.0,0.97,1.0,106.307,346.773434
