planet_name,ra_event,dec_event,earth_massses,jupiter_masses,planet_orbmax,lens_distance,source_distance,einstein_cross_time,source_mag,planet_star_mass_ratio,angular_einstein_radius,lens_distance_ly,source_distance_ly
KMT-2016-BLG-1836L b,17 53 00.08,-30 02 26.70,730.0,2.7,2.6,7100.0,,49.5,44.0,22.0,,23160.2,
MOA-2011-BLG-262L b,18 00 23.48,-31 14 42.93,,,,,,3.846,4.67,19.935,,,
OGLE-2011-BLG-0251L b,17 38 14.18,-27 08 10.1,170.0,0.53,2.72,2570.0,,63.88,19.2,15.97,0.75,8383.34,
OGLE-2018-BLG-0677L b,17 55 00.27,-32 00 59.51,3.96,0.0125,0.72,7580.0,8370.0,4.94,0.8831,,,24725.96,27302.94
OGLE-2014-BLG-1722L c,17 55 00.57,-31 28 08.6,83.7,0.263,1.7,6400.0,,23.797,7.071,18.87,,20876.8,
KMT-2019-BLG-1339L b,17 42 58.42,-25 34 26.1,3400.0,10.7,4.3,7210.0,,17.66,374.8,20.89,0.22,23519.02,
OGLE-2012-BLG-0406L b,17 53 18.17,-30 28 16.2,1200.0,3.8,3.8,5100.0,,64.33,62.6,,0.57,16636.2,
OGLE-2014-BLG-1760L b,17 57 38.16,-28 57 47.37,180.0,0.56,1.75,6860.0,,15.87,8.64,19.07,0.29,22377.32,
OGLE-2015-BLG-0954L b,18 00 44.24,-28 39 39.2,1200.0,3.9,1.2,600.0,,36.96,119.4,20.91,1.89,1957.2,
OGLE-2012-BLG-0563L b,18 05 57.72,-27 42 43.2,120.0,0.39,0.74,1300.0,9100.0,77.5,10.86,20.115,1.36,4240.6,29684.2
MOA-2009-BLG-387L b,17 53 50.79,-33 59 25.0,830.0,2.6,1.8,5690.0,,40.0,132.0,,0.31,18560.78,
MOA-bin-29 b,17 57 30.23,-29 44 11.63,180.0,0.58,0.39,6730.0,,5.191,82.7,20.033,0.068,21953.26,
OGLE-2006-BLG-109L b,17 52 34.51,-30 05 16.0,230.0,0.71,2.3,1490.0,8000.0,,,,,4860.38,26096.0
KMT-2016-BLG-0212L b,17 53 45.42,-29 05 12.80,5700.0,18.0,2.2,6300.0,,26.616,368.0,20.69,0.42,20550.6,
OGLE-2017-BLG-1375L b,17 56 37.17,-30 18 41.1,,,,,,101.36,134.6,22.1,0.99,,
OGLE-2014-BLG-0676L b,17 52 24.50,-30 32 54.20,982.0,3.09,4.4,2220.0,,116.3,47.8,23.512,1.38,7241.64,
MOA-2016-BLG-319L b,17 54 58.13,-29 45 01.67,210.0,0.65,1.09,6800.0,,8.69,41.0,19.01,0.107,22181.6,
MOA-2008-BLG-310L b,17 54 14.53,-34 46 40.99,74.0,0.23,1.25,6000.0,8000.0,11.08,3.2,19.28,0.155,19572.0,26096.0
OGLE-2007-BLG-349L AB c,18 05 24.43,-26 25 19.0,80.0,0.25170815,2.59,2760.0,,118.0,3.39,20.369,1.15,9003.12,
OGLE-2017-BLG-1140L b,17 47 31.93,-24 31 21.6,505.0,1.59,1.02,,8100.0,14.69,72.0,,0.163,,26422.2
KMT-2018-BLG-1292L b,17 33 42.62,-33 31 14.41,,,,,,63.98,30.75,,1.73,,
OGLE-2017-BLG-0173L b,17 51 52.95,-29 16 16.9,3.269,0.01029,3.913,4705.0,,30.46,0.2479,,0.54,15347.710000000001,
KMT-2016-BLG-1397L b,18 10 39.51,-24 51 27.86,,,,,,37.1,250.0,,,,
OGLE-2012-BLG-0026L c,17 34 18.70,-27 08 33.9,270.0,0.86,4.8,4019.0,7390.0,94.12,,,0.98,13109.978,24106.18
OGLE-2006-BLG-109L c,17 52 34.51,-30 05 16.0,86.0,0.27,4.6,1490.0,8000.0,,,,,4860.38,26096.0
OGLE-2013-BLG-0132L b,17 59 03.51,-28 25 15.7,92.0,0.29,3.6,3900.0,,36.99,5.15,19.37,0.81,12721.8,
MOA-2011-BLG-293L b,17 55 39.35,-28 28 36.65,760.0,2.4,3.4,7150.0,,22.64,51.0,,0.26,23323.3,
KMT-2017-BLG-1146L b,17 56 25.40,-33 08 32.89,270.0,0.85,1.7,6600.0,,25.443,20.0,,,21529.2,
OGLE-2013-BLG-1721L b,17 52 30.37,-30 17 33.7,200.0,0.64,2.6,6300.0,,27.98,13.18,21.27,0.42,20550.6,
MOA-2010-BLG-477L b,18 06 07.44,-31 27 16.1,480.0,1.5,2.0,2300.0,,46.57,22.075,18.71,1.38,7502.6,
OGLE-2013-BLG-1761L b,17 53 38.28,-28 53 42.98,860.0,2.7,1.8,6900.0,,38.7,70.0,19.42,0.251,22507.8,
KMT-2018-BLG-0748L b,17 51 29.88,-30 38 47.00,60.0,0.19,0.62,7300.0,,4.38,20.3,19.21,0.111,23812.6,
OGLE-2003-BLG-235L b,18 05 16.35,-28 53 42.0,830.0,2.6,4.3,5800.0,8800.0,,39.0,19.63,0.55,18919.6,28705.6
OGLE-2017-BLG-0482L b,17 56 11.73,-30 31 42.1,9.0,0.028,1.8,5800.0,8100.0,40.01,1.35,,0.093,18919.6,26422.2
OGLE-2008-BLG-355L b,17 59 08.81,-30 45 34.1,1500.0,4.6,1.7,6800.0,,34.0,118.0,20.02,0.28,22181.6,
MOA-2016-BLG-227L b,18 05 53.70,-27 42 51.43,1300.0,4.1,1.45,6800.0,,17.03,92.8,19.54,0.227,22181.6,
MOA-2011-BLG-028L b,18 03 24.96,-29 12 48.3,30.0,0.09,4.14,7380.0,8610.0,34.2,1.27,15.3,0.337,24073.56,28085.82
OGLE-2016-BLG-0263L b,17 59 34.9,-31 49 07.0,1300.0,4.1,5.4,6500.0,,15.92,297.0,15.89,,21203.0,
KMT-2016-BLG-1107L b,17 45 40.26,-26 01 54.48,29.0,0.09,1.065,7481.0,,20.38,39.8,,0.048,24403.022,
MOA-2012-BLG-006L b,18 01 46.31,-29 06 31.6,2700.0,8.4,10.2,5300.0,,20.69,165.0,16.247,0.489,17288.6,
MOA-2010-BLG-073L b,18 10 11.342,-26 31 22.544,3500.0,11.0,1.21,2800.0,,44.3,654.0,15.554,0.557,9133.6,
MOA-2013-BLG-220L b,18 03 56.5,-29 32 41,,,,6500.0,,13.23,30.1,19.205,0.456,21203.0,
KMT-2016-BLG-2397L b,17 44 51.01,-23 12 04.97,769.0,2.42,2.83,5090.0,,52.74,37.2,21.76,0.24,16603.58,
KMT-2018-BLG-1025L b,17 59 27.94,-27 52 41.02,4.444,0.01398239,0.508,7470.0,,8.889,1.627,21.384,0.091,24367.14,
KMT-2019-BLG-1715L b,18 01 29.21,-28 46 37.7,454.49462201,1.43,2.8,3770.0,,51.93,23.0,18.242,0.91,12297.74,
MOA-2010-BLG-328L b,17 57 59.12,-30 42 54.63,15.2,0.0478,1.21,1240.0,,64.2,3.68,,0.83,4044.88,
OGLE-2008-BLG-092L b,17 47 29.42,-34 43 35.6,57.0,0.18,15.0,8100.0,9700.0,38.64,2.41,13.9,0.344,26422.2,31641.4
MOA-2015-BLG-337L b,18 07 47.69,-28 10 13.00,5720.0,18.0,0.19,6300.0,,5.496,1780.0,19.682,0.034,20550.6,
OGLE-2012-BLG-0838L b,18 12 00.74,-25 42 41.80,53.1,0.167,4.43,6320.0,8170.0,40.44,3.95,17.754,0.325,20615.84,26650.54
OGLE-2015-BLG-1649L b,18 04 49.21,-32 37 58.90,807.0,2.54,2.07,4230.0,,28.312,72.27,19.43,0.556,13798.26,
MOA-bin-1L b,17 51 10.20,-29 47 38.3,1200.0,3.7,8.3,5100.0,8000.0,31.2,47.0,20.23,0.77,16636.2,26096.0
OGLE-2005-BLG-071L b,17 50 09.77,-34 40 23.5,1100.0,3.4,2.1,3100.0,8600.0,68.3,70.0,19.49,0.86,10112.2,28053.2
OGLE-2018-BLG-1428L b,17 42 11.69,-26 08 16.4,240.0,0.77,3.3,6220.0,,24.4448,17.144,18.97,0.373,20289.64,
UKIRT-2017-BLG-001L b,17 46 36.98,-29 12 40.9,407.0,1.28,4.18,6300.0,11200.0,101.0,15.0,,0.92,20550.6,36534.4
OGLE-2017-BLG-0406L b,17 55 59.92,-29 51 47.3,130.0,0.41,3.5,5200.0,8800.0,37.134,6.955,17.606,0.593,16962.4,28705.6
KMT-2016-BLG-2364L b,17 42 51.76,-27 26 08.02,1250.0,3.93,2.63,6440.0,,20.33,75.6,21.88,0.18,21007.28,
TCP J05074264+2447555 b,05 07 42.64,+24 47 55.5,9.2,0.029,0.5,380.0,750.0,26.4,1.1,,1.45,1239.56,2446.5
OGLE-2017-BLG-0604L b,17 51 34.00,-30 56 47.6,160.0,0.51,4.06,3950.0,,55.21,7.0,21.58,0.98,12884.9,
KMT-2019-BLG-0842L b,17 53 50.03,-29 52 38.78,10.28,0.03234,3.31,3320.0,8170.0,43.859,0.409,21.73,1.01,10829.84,26650.54
KMT-2018-BLG-1976L b,17 45 25.12,-35 42 01.19,705.57906354,2.22,3.54,5840.0,,41.76,31.3,18.242,,19050.08,
KMT-2018-BLG-1996L b,17 54 42.84,-22 49 13.48,387.75065654,1.22,1.97,5910.0,,47.08,16.9,18.82,,19278.42,
OGLE-2019-BLG-0954L b,17 51 39.18,-29 36 39.60,4513.1633794,14.2,2.65,3630.0,,28.54,170.0,20.32,0.8,11841.06,
KMT-2019-BLG-0371L b,17 53 32.14,-31 33 18.08,2447.2787339,7.7,0.79,7010.0,,6.5,790.0,,0.137,22866.62,
OGLE-2015-BLG-1670L b,17 52 38.11,-28 33 06.9,,,,,,23.3,1.0,22.34,0.395,,
